clave,descripcion,clase_o_division,peligro_secundario,nombre_tecnico
1973,"CLORODIFLUOROMETANO Y CLOROPENTAFLUOROETANO, MEZCLA DE, de punto de ebullición constante, con alrededor del 49% de clorodifluorometano (GAS REFRIGERANTE R 502)",2.2,,
1974,CLORODIFLUOROMETANO (GAS REFRIGERANTE R 12B1),2.2,,
1975,MONÓXIDO DE NITRÓGENO Y TETRAÓXIDO DE DINITRÓGENO EN MEZCLA (ÓXIDO NÍTRICO Y DIÓXIDO DE NITRÓGENO EN MEZCLA),2.3,5.1\n8,
1976,OCTAFLUORO- CICLOBUTANO (GAS REFRIGERANTE RC 318),2.2,,
1977,NITRÓGENO LÍQUIDO REFRIGERADO,2.2,,
1978,PROPANO,2.1,,
1982,TETRAFLUOROMETANO (GAS REFRIGERANTE R 14),2.2,,
1983,"1-CLORO-2,2,2- TRIFLUOROETANO (GAS REFRIGERANTE R 133a)",2.2,,
1984,TRIFLUOROMETANO (GAS REFRIGERANTE R 23),2.2,,
1986,"ALCOHOLES INFLAMABLES, TÓXICOS, N.E.P.",3,6.1,Líquidos inflamables.
1987,"ALCOHOLES, N.E.P.",3,,Líquidos inflamables.
1988,"ALDEHÍDOS INFLAMABLES, TÓXICOS, N.E.P.",3,6.1,Líquidos inflamables.
1989,"ALDEHÍDOS, N.E.P.",3,,Líquidos inflamables.
1990,BENZALDEHÍDO,9,,
1991,CLOROPRENO ESTABILIZADO,3,6.1,
1992,"LÍQUIDO INFLAMABLE, TÓXICO, N.E.P.",3,6.1,Líquidos inflamables.
1993,"LÍQUIDO INFLAMABLE, N.E.P.",3,,Líquidos inflamables.
1994,HIERRO PENTACARBONILO,6.1,3,
1999,"ALQUITRANES LÍQUIDOS, incluidos los aglomerantes para carreteras y los asfaltos rebajados",3,,
2000,"CELULOIDE en bloques, barras, rollos, hojas, tubos, etc., excepto los desechos",4.1,,
2001,"NAFTENATOS DE COBALTO, EN POLVO",4.1,,
2002,"CELULOIDE, DESECHOS DE",4.2,,
2004,DIAMIDA DE MAGNESIO,4.2,,
2006,"PLÁSTICOS A BASE DE NITROCELULOSA QUE EXPERIMENTAN CALENTAMIENTO ESPONTÁNEO, N.E.P.",4.2,,Solidos inflamables de reacción espontanea.
2008,"CIRCONIO EN POLVO, SECO",4.2,,
2009,"CIRCONIO SECO, en láminas, tiras o alambre",4.2,,
2010,HIDRURO DE MAGNESIO,4.3,,
2011,FOSFURO DE MAGNESIO,4.3,6.1,
2012,FOSFURO DE POTASIO,4.3,6.1,
2013,FOSFURO DE ESTRONCIO,4.3,6.1,
2014,PERÓXIDO DE HIDRÓGENO EN SOLUCIÓN ACUOSA con un mínimo del 20% pero no más del 60% de peróxido de hidrógeno (estabilizada según sea necesario),5.1,8,
2015,"PERÓXIDO DE HIDRÓGENO ESTABILIZADO, o PERÓXIDO DE HIDRÓGENO EN SOLUCIÓN ACUOSA ESTABILIZADA con más del 60% de peróxido de hidrógeno",5.1,8,
2016,"MUNICIONES TÓXICAS NO EXPLOSIVAS, sin carga dispersora ni carga expulsora, sin cebo",6.1,,
2017,"MUNICIONES LACRIMÓGENAS NO EXPLOSIVAS, sin carga dispersora ni carga expulsora, sin cebo",6.1,8,
2018,CLOROANILINAS SÓLIDAS,6.1,,
2019,CLOROANILINAS LÍQUIDAS,6.1,,
2020,CLOROFENOLES SÓLIDOS,6.1,,
2021,CLOROFENOLES LÍQUIDOS,6.1,,
2022,ÁCIDO CRESÍLICO,6.1,8,
2023,EPICLORHIDRINA,6.1,3,
2024,"MERCURIO, COMPUESTO LÍQUIDO DE, N.E.P.",6.1,,Tóxicos
2025,"MERCURIO, COMPUESTO SÓLIDO DE, N.E.P.",6.1,,Tóxicos
2026,"FENILMERCURIO, COMPUESTO, N.E.P.",6.1,,Tóxicos
2027,ARSENITO DE SODIO SÓLIDO,6.1,,
2028,"BOMBAS FUMÍGENAS NO EXPLOSIVAS que contienen un líquido corrosivo, sin dispositivo de cebado",8,,
2029,HIDRAZINA ANHIDRA,8,3\n6.1,
2030,"HIDRAZINA EN SOLUCIÓN ACUOSA con más del 37%, en masa, de hidrazina",8,6.1,
2031,"ÁCIDO NÍTRICO, excepto el ácido nítrico fumante rojo, con más del 70% de ácido nítrico",8,5.1,
2031,"ÁCIDO NÍTRICO, excepto el ácido nítrico fumante rojo, con un mínimo del 65% pero no más del 70% de ácido nítrico",8,5.1,
2031,"ÁCIDO NÍTRICO, excepto el ácido nítrico fumante rojo, con menos del 65% de ácido nítrico",8,,
2032,ÁCIDO NÍTRICO FUMANTE ROJO,8,5.1\n6.1,
2033,MONÓXIDO DE POTASIO,8,,
2034,"HIDRÓGENO Y METANO, MEZCLA COMPRIMIDA DE",2.1,,
2035,"1,1,1-TRIFLUOROETANO (GAS REFRIGERANTE R 143a)",2.1,,
2036,XENÓN,2.2,,
2037,"RECIPIENTES PEQUEÑOS QUE CONTIENEN GAS, (CARTUCHOS DE GAS) sin dispositivo de descarga, no rellenables",2,,
2038,DINITROTOLUENOS LÍQUIDOS,6.1,,
2044,"2,2-DIMETILPROPANO diferente del pentano y del isopentano",2.1,,
2045,ISOBUTIRALDEHÍDO (ALDEHÍDO ISOBUTÍRICO),3,,
2046,CIMENOS,3,,
2047,DICLOROPROPENOS,3,,
2048,DICICLOPENTADIENO,3,,
2049,DIETILBENCENO,3,,
2050,"DIISOBUTILENO, COMPUESTOS ISOMÉRICOS DEL",3,,
2051,2-DIMETILAMINOETANOL,8,3,
2052,DIPENTENO,3,,
2053,ALCOHOL METILAMÍLICO,3,,
2054,MORFOLINA,8,3,
2055,ESTIRENO MONÓMERO ESTABILIZADO,3,,
2056,TETRAHIDROFURANO,3,,
2057,TRIPROPILENO,3,,
2058,VALERILALDEHÍDO,3,,
2059,"NITROCELULOSA EN SOLUCIÓN INFLAMABLE con un máximo del 12,6%, en masa, de nitrógeno y un máximo del 55% de nitrocelulosa",3,,
2067,ABONOS A BASE DE NITRATO DE AMONIO,5.1,,
2071,ABONOS A BASE DE NITRATO DE AMONIO,9,,
2073,"AMONIACO EN SOLUCIÓN acuosa de densidad relativa inferior a 0,880 a 15°C, con más del 35% pero no más del 50% de amoniaco",2.2,,
2074,ACRILAMIDA SÓLIDA,6.1,,
2075,CLORAL ANHIDRO ESTABILIZADO,6.1,,
2076,CRESOLES LÍQUIDOS,6.1,8,
2077,alfa-NAFTILAMINA,6.1,,
2078,DIISOCIANATO DE TOLUENO,6.1,,
2079,DIETILENTRIAMINA,8,,
2186,CLORURO DE HIDRÓGENO LÍQUIDO REFRIGERADO,2.3,8,
2187,DIÓXIDO DE CARBONO LÍQUIDO REFRIGERADO,2.2,,
2188,ARSINA,2.3,2.1,
2189,DICLOROSILANO,2.3,2.1\n8,
2190,"DIFLUORURO DE OXÍGENO, COMPRIMIDO",2.3,5.1\n8,
2191,FLUORURO DE SULFURILO,2.3,,
2192,GERMANO,2.3,2.1,
2193,HEXAFLUOROETANO (GAS REFRIGERANTE R 116),2.2,,
2194,HEXAFLUORURO DE SELENIO,2.3,8,
2195,HEXAFLUORURO DE TELURIO,2.3,8,
2196,HEXAFLUORURO DE TUNGSTENO,2.3,8,
2197,YODURO DE HIDRÓGENO ANHIDRO,2.3,8,
2198,PENTAFLUORURO DE FÓSFORO,2.3,8,
2199,FOSFANO,2.3,2.1,
2200,PROPADIENO ESTABILIZADO,2.1,,
2201,ÓXIDO NITROSO LÍQUIDO REFRIGERADO,2.2,5.1,
2202,SELENIURO DE HIDRÓGENO ANHIDRO,2.3,2.1,
2203,SILANO,2.1,,
2204,SULFURO DE CARBONILO,2.3,2.1,
2205,ADIPONITRILO,6.1,,
2206,"ISOCIANATOS TÓXICOS, N.E.P. o ISOCIANATOS EN SOLUCIÓN, TÓXICOS, N.E.P.",6.1,,Tóxicos
2208,HIPOCLORITO DE CALCIO EN MEZCLA SECA con más del 10% pero no más del 39% de cloro activo,5.1,,
2209,FORMALDEHÍDO EN SOLUCIÓN con un mínimo del 25% de formaldehído,8,,
2210,"MANEB o PREPARADOS DE MANEB, con un mínimo del 60% de maneb",4.2,4.3,
2211,POLÍMERO EN BOLITAS DILATABLES que desprenden vapores inflamables,9,,
2212,"AMIANTO, ANFIBOL (amosita, tremolita, actinolita, antofilita, crocidolita)",9,,
2213,PARAFORMALDEHÍDO,4.1,,
2214,"ANHÍDRIDO FTÁLICO con más del 0,05% de anhídrido maleico",8,,
2215,ANHÍDRIDO MALEICO,8,,
2215,ANHÍDRIDO MALEICO FUNDIDO,8,,
2216,HARINA DE PESCADO (DESECHOS DE PESCADO) ESTABILIZADA,9,,
2217,"TORTA OLEAGINOSA con un máximo del 1,5% de aceite y un máximo del 11% humedad",4.2,,
2218,ÁCIDO ACRÍLICO ESTABILIZADO,8,3,
2219,ÉTER ALILGLICIDÍLICO (ALIL GLICIDIL ÉTER),3,,
2222,ANISOL,3,,
2224,BENZONITRILO,6.1,,
2225,CLORURO DE BENCENOSULFONILO,8,,
2226,BENZOTRICLORURO,8,,
2227,METACRILATO DE n- BUTILO ESTABILIZADO,3,,
2232,2-CLOROETANAL,6.1,,
2233,CLOROANISIDINAS,6.1,,
2234,CLOROBENZO- TRIFLUORUROS,3,,
2235,"CLORUROS DE CLOROBENCILO, LÍQUIDOS",6.1,,
2236,"ISOCIANATO DE 3-CLORO-4- METILFENILO, LÍQUIDO",6.1,,
2237,CLORONITROANILINAS,6.1,,
2238,CLOROTOLUENOS,3,,
2239,CLOROTOLUIDINAS SÓLIDAS,6.1,,
2240,ÁCIDO CROMOSULFÚRICO,8,,
2241,CICLOHEPTANO,3,,
2242,CICLOHEPTENO,3,,
2243,ACETATO DE CICLOHEXILO,3,,
2244,CICLOPENTANOL,3,,
2245,CICLOPENTANONA,3,,
2246,CICLOPENTENO,3,,
2247,n-DECANO,3,,
2248,DI-n-BUTILAMINA,8,3,
2249,ÉTER DICLORODIMETÍLICO SIMÉTRICO,6.1,3,
2250,ISOCIANATOS DE DICLOROFENILO,6.1,,
2251,"BICICLO [2.2.1]HEPTA-2,5-DIENO ESTABILIZADO (2,5-NORBORNADIENO ESTABILIZADO).",3,,
2252,"1,2-DIMETOXIETANO",3,,
2253,"N, N-DIMETILANILINA",6.1,,
2254,FÓSFOROS RESISTENTES AL VIENTO,4.1,,
2256,CICLOHEXENO,3,,
2257,POTASIO,4.3,,
2258,"1,2-PROPILENDIAMINA",8,3,
2259,TRIETILENTETRAMINA,8,,
2260,TRIPROPILAMINA,3,8,
2261,XILENOLES SÓLIDOS,6.1,,
2262,CLORURO DE DIMETILCARBAMOÍLO,8,,
2263,DIMETILCICLOHEXANOS,3,,
2264,"N, N-DIMETIL- CICLOHEXILAMINA",8,3,
2265,"N, N-DIMETILFORMAMIDA",3,,
2266,"N, N-DIMETILPROPILAMINA",3,8,
2267,CLORURO DE DIMETILTIOFOSFORILO,6.1,8,
2269,"3,3´-IMINOBISPROPILAMINA",8,,
2270,ETILAMINA EN SOLUCIÓN ACUOSA con un mínimo del 50% pero no más del 70% de etilamina,3,8,
2271,AMIL ETIL CETONA,3,,
2272,N-ETILANILINA,6.1,,
2273,2-ETILANILINA,6.1,,
2274,N-ETIL-N-BENCILANILINA,6.1,,
2275,2-ETILBUTANOL,3,,
2276,2-ETILHEXILAMINA,3,8,
2277,METACRILATO DE ETILO ESTABILIZADO,3,,
2278,n-HEPTENO,3,,
2279,HEXACLOROBUTADIENO,6.1,,
2280,HEXAMETILENDIAMINA SÓLIDA,8,,
2281,DIISOCIANATO DE HEXAMETILENO,6.1,,
2282,HEXANOLES,3,,
2283,METACRILATO DE ISOBUTILO ESTABILIZADO,3,,
2284,ISOBUTIRONITRILO,3,6.1,
2285,ISOCIANATOBENZOTRI- FLUORUROS,6.1,3,
2286,PENTAMETILHEPTANO,3,,
2287,ISOHEPTENOS,3,,
2288,ISOHEXENOS,3,,
2289,ISOFORONDIAMINA,8,,
2290,DIISOCIANATO DE ISOFORONA,6.1,,
2291,"PLOMO, COMPUESTO DE, SOLUBLE, N.E.P.",6.1,,Tóxicos
2293,4-METIL-4-METOXIPENTAN-2-ONA,3,,
2294,N-METILANILINA,6.1,,
2295,CLOROACETATO DE METILO,6.1,3,
2296,METILCICLOHEXANO,3,,
2297,METILCICLOHEXANONA,3,,
2298,METILCICLOPENTANO,3,,
2299,DICLOROACETATO DE METILO,6.1,,
2300,2-METIL-5-ETILPIRIDINA,6.1,,
2301,2-METILFURANO,3,,
2302,5-METIL-2-HEXANONA,3,,
2303,ISOPROPENILBENCENO,3,,
2304,NAFTALENO FUNDIDO,4.1,,
2305,ÁCIDO NITROBENCENOSULFÓNICO,8,,
2306,NITROBENZO- TRIFLUORUROS LÍQUIDOS,6.1,,
2307,3-NITRO-4-CLORO- BENZOTRIFLUORURO,6.1,,
2308,ÁCIDO NITROSILSULFÚRICO LÍQUIDO,8,,
2309,OCTADIENO,3,,
2310,"PENTANO-2,4-DIENO",3,6.1,
2311,FENETIDINAS,6.1,,
2312,FENOL FUNDIDO,6.1,,
2313,PICOLINAS,3,,
2315,DIFENILOS POLICLORADOS LÍQUIDOS,9,,
2316,CUPROCIANURO DE SODIO SÓLIDO,6.1,,
2317,CUPROCIANURO DE SODIO EN SOLUCIÓN,6.1,,
2318,HIDROGENOSULFURO DE SODIO con menos del 25% de agua de cristalización,4.2,,
2319,"HIDROCARBUROS TERPÉNICOS, N.E.P.",3,,Líquidos inflamables.
2320,TETRAETILENPENTAMINA,8,,
2321,TRICLOROBENCENOS LÍQUIDOS,6.1,,
2322,TRICLOROBUTENO,6.1,,
2323,FOSFITO DE TRIETILO,3,,
2324,TRIISOBUTILENO,3,,
2325,"1,3,5-TRIMETILBENCENO",3,,
2326,TRIMETILCICLO- HEXILAMINA,8,,
2327,TRIMETILHEXAMETILEN- DIAMINAS,8,,
2328,DIISOCIANATO DE TRIMETILHEXAMETILENO,6.1,,
2329,FOSFITO DE TRIMETILO,3,,
2330,UNDECANO,3,,
2331,CLORURO DE CINC ANHIDRO,8,,
2332,ACETALDOXIMA,3,,
2333,ACETATO DE ALILO,3,6.1,
2334,ALILAMINA,6.1,3,
2335,ALIL ETIL ÉTER,3,6.1,
2336,FORMIATO DE ALILO,3,6.1,
2337,FENILMERCAPTANO,6.1,3,
2338,BENZOTRIFLUORURO,3,,
2339,2-BROMOBUTANO,3,,
2340,2-BROMOETIL ETIL ÉTER,3,,
2341,1-BROMO-3-METILBUTANO,3,,
2342,BROMOMETILPROPANOS,3,,
2343,2-BROMOPENTANO,3,,
2344,BROMOPROPANOS,3,,
2345,3-BROMOPROPINO,3,,
2346,BUTANODIONA,3,,
2347,BUTILMERCAPTANO,3,,
2348,ACRILATOS DE BUTILO ESTABILIZADOS,3,,
2350,BUTIL METIL ÉTER,3,,
2351,NITRITOS DE BUTILO,3,,
2352,BUTIL VINIL ÉTER ESTABILIZADO,3,,
2353,CLORURO DE BUTIRILO,3,8,
2354,CLOROMETIL ÉTIL ÉTER,3,6.1,
2356,2-CLOROPROPANO,3,,
2357,CICLOHEXILAMINA,8,3,
2358,CICLOOCTATETRAENO,3,,
2359,DIALILAMINA,3,6.1\n8,
2360,DIALIL ÉTER,3,6.1,
2361,DIISOBUTILAMINA,3,8,
2362,"1,1-DICLOROETANO",3,,
2363,ETILMERCAPTANO,3,,
2364,n-PROPILBENCENO,3,,
2366,CARBONATO DE DIETILO,3,,
2367,alfa-METILVALERALDEHÍDO,3,,
2368,alfa-PINENO,3,,
2370,1-HEXENO,3,,
2371,ISOPENTENOS,3,,
2372,"1,2-DI-(DIMETILAMINO) ETANO",3,,
2373,DIETOXIMETANO,3,,
2374,"3,3-DIETOXIPROPENO",3,,
2375,SULFURO DE DIETILO,3,,
2376,"2,3-DIHIDROPIRANO",3,,
2377,"1,1-DIMETOXIETANO",3,,
2378,2-DIMETILAMINOACETONITRILO,3,6.1,
2379,"1,3-DIMETILBUTILAMINA",3,8,
2380,DIMETILDIETOXISILANO,3,,
2381,DISULFURO DE DIMETILO,3,6.1,
2382,DIMETILHIDRAZINA SIMÉTRICA,6.1,3,
2383,DIPROPILAMINA,3,8,
2384,ÉTER DI-n-PROPÍLICO,3,,
2385,ISOBUTIRATO DE ETILO,3,,
2386,1-ETILPIPERIDINA,3,8,
2387,FLUOROBENCENO,3,,
2388,FLUOROTOLUENOS,3,,
2389,FURANO,3,,
2390,2-YODOBUTANO,3,,
2391,YODOMETILPROPANOS,3,,
2392,YODOPROPANOS,3,,
2393,FORMIATO DE ISOBUTILO,3,,
2394,PROPIONATO DE ISOBUTILO,3,,
2395,CLORURO DE ISOBUTIRILO,3,8,
2396,METACRILALDEHÍDO ESTABILIZADO,3,6.1,
2397,3-METIL-2-BUTANONA,3,,
2398,METIL-terc-BUTILÉTER,3,,
2399,1-METILPIPERIDINA,3,8,
2400,ISOVALERIANATO DE METILO,3,,
2401,PIPERIDINA,8,3,
2402,PROPANOTIOLES,3,,
2403,ACETATO DE ISOPROPENILO,3,,
2404,PROPIONITRILO,3,6.1,
2405,BUTIRATO DE ISOPROPILO,3,,
2406,ISOBUTIRATO DE ISOPROPILO,3,,
2407,CLOROFORMIATO DE ISOPROPILO,6.1,3\n8,
2409,PROPIONATO DE ISOPROPILO,3,,
2410,"1,2,3,6-TETRAHIDRO- PIRIDINA",3,,
2411,BUTIRONITRILO,3,6.1,
2412,TETRAHIDROTIOFENO,3,,
2413,ORTOTITANATO TETRAPROPÍLICO,3,,
2414,TIOFENO,3,,
2416,BORATO DE TRIMETILO,3,,
2417,FLUORURO DE CARBONILO,2.3,8,
2418,TETRAFLUORURO DE AZUFRE,2.3,8,
2419,BROMOTRIFLUORO- ETILENO,2.1,,
2420,HEXAFLUOROACETONA,2.3,8,
2421,TRIÓXIDO DE NITRÓGENO,2.3,5.1\n8,
2422,2-OCTAFLUOROBUTENO (GAS REFRIGERANTE R 1318),2.2,,
2424,OCTAFLUOROPROPANO (GAS REFRIGERANTE R 218),2.2,,
2426,NITRATO DE AMONIO LÍQUIDO (en solución concentrada caliente),5.1,,
2427,CLORATO DE POTASIO EN SOLUCIÓN ACUOSA,5.1,,
2428,CLORATO DE SODIO EN SOLUCIÓN ACUOSA,5.1,,
2429,CLORATO DE CALCIO EN SOLUCIÓN ACUOSA,5.1,,
2430,"ALQUILFENOLES SÓLIDOS, N.E.P. (incluidos los homólogos C2 a C12)",8,,Corrosivos.
2431,ANISIDINAS,6.1,,
2432,"N, N-DIETILANILINA",6.1,,
2433,CLORONITROTOLUENOS LÍQUIDOS,6.1,,
2434,DIBENCILDICLOROSILANO,8,,
2435,ETILFENILDICLOROSILANO,8,,
2436,ÁCIDO TIOACÉTICO,3,,
2437,METILFENILDICLORO- SILANO,8,,
2438,CLORURO DE TRIMETILACETILO,6.1,3\n8,
2439,HIDROGENODIFLUORURO DE SODIO,8,,
2440,CLORURO DE ESTAÑO(IV) PENTAHIDRATADO,8,,
2441,TRICLORURO DE TITANIO PIROFÓRICO o TRICLORURO DE TITANIO PIROFÓRICO EN MEZCLA,4.2,8,
2442,CLORURO DE TRICLOROACETILO,8,,
2443,OXITRICLORURO DE VANADIO,8,,
2444,TETRACLORURO DE VANADIO,8,,
2446,NITROCRESOLES SÓLIDOS,6.1,,
2447,FÓSFORO BLANCO FUNDIDO,4.2,6.1,
2448,AZUFRE FUNDIDO,4.1,,
2451,TRIFLUORURO DE NITRÓGENO,2.2,5.1,
2452,ETILACETILENO ESTABILIZADO,2.1,,
2453,FLUORURO DE ETILO (GAS REFRIGERANTE R 161),2.1,,
2454,FLUORURO DE METILO (GAS REFRIGERANTE R 41),2.1,,
2455,NITRITO DE METILO,2.2,,
2456,2-CLOROPROPENO,3,,
2457,"2,3-DIMETILBUTANO",3,,
2458,HEXADIENO,3,,
2459,2-METIL-1-BUTENO,3,,
2460,2-METIL-2-BUTENO,3,,
2461,METILPENTADIENO,3,,
2463,HIDRURO DE ALUMINIO,4.3,,
2464,NITRATO DE BERILIO,5.1,6.1,
2465,"ÁCIDO DICLOROISOCIANÚRICO SECO o ÁCIDO DICLOROISOCIANÚRICO, SALES DEL",5.1,,
2466,SUPERÓXIDO DE POTASIO,5.1,,
2468,ÁCIDO TRICLOROISOCIANÚRICO SECO,5.1,,
2469,BROMATO DE CINC,5.1,,
2470,FENILACETONITRILO LÍQUIDO,6.1,,
2471,TETRÓXIDO DE OSMIO,6.1,,
2473,ARSANILATO DE SODIO,6.1,,
2474,TIOFOSGENO,6.1,,
2475,TRICLORURO DE VANADIO,8,,
2477,ISOTIOCIANATO DE METILO,6.1,3,
2478,"ISOCIANATOS INFLAMABLES, TÓXICOS, N.E.P. o ISOCIANATOS EN SOLUCIÓN, INFLAMABLES, TÓXICOS, N.E.P.",3,6.1,Líquidos inflamables.
2480,ISOCIANATO DE METILO,6.1,3,
2481,ISOCIANATO DE ETILO,6.1,3,
2482,ISOCIANATO DE n-PROPILO,6.1,3,
2483,ISOCIANATO DE ISOPROPILO,6.1,3,
2484,ISOCIANATO DE terc-BUTILO,6.1,3,
2485,ISOCIANATO DE n-BUTILO,6.1,3,
2486,ISOCIANATO DE ISOBUTILO,6.1,3,
2487,ISOCIANATO DE FENILO,6.1,3,
2488,ISOCIANATO DE CICLOHEXILO,6.1,3,
2490,ÉTER DICLORO- ISOPROPÍLICO,6.1,,
2491,ETANOLAMINA o ETANOLAMINA EN SOLUCIÓN,8,,
2493,HEXAMETILENIMINA,3,8,
2495,PENTAFLUORURO DE YODO,5.1,6.1\n8,
2496,ANHÍDRIDO PROPIÓNICO,8,,
2498,"1,2,3,6-TETRAHIDRO-BENZALDEHÍDO",3,,
2501,ÓXIDO DE TRIS1 (1-AZIRIDINIL) FOSFANO EN SOLUCIÓN,6.1,,
2502,CLORURO DE VALERILO,8,3,
2503,TETRACLORURO DE CIRCONIO,8,,
2504,TETRABROMOETANO,6.1,,
2505,FLUORURO DE AMONIO,6.1,,
2506,SULFATO ÁCIDO DE AMONIO,8,,
2507,ÁCIDO CLOROPLATÍNICO SÓLIDO,8,,
2508,PENTACLORURO DE MOLIBDENO,8,,
2509,SULFATO ÁCIDO DE POTASIO,8,,
2511,ÁCIDO 2- CLOROPROPIÓNICO,8,,
2512,"AMINOFENOLES (o-, m-, p-)",6.1,,
2513,BROMURO DE BROMOACETILO,8,,
2514,BROMOBENCENO,3,,
2515,BROMOFORMO,6.1,,
2516,TETRABROMURO DE CARBONO,6.1,,
2517,"1-CLORO-1,1- DIFLUOROETANO (GAS REFRIGERANTE R 142 b)",2.1,,
2518,"1,5,9-CICLODODECATRIENO",6.1,,
2520,CICLOOCTADIENOS,3,,
2521,DICETENO ESTABILIZADO,6.1,3,
2522,METACRILATO DE 2- DIMETILAMINOETILO ESTABILIZADO,6.1,,
2524,ORTOFORMIATO DE ETILO,3,,
2525,OXALATO DE ETILO,6.1,,
2526,FURFURILAMINA,3,8,
2527,ACRILATO DE ISOBUTILO ESTABILIZADO,3,,
2528,ISOBUTIRATO DE ISOBUTILO,3,,
2529,ÁCIDO ISOBUTÍRICO,3,8,
2531,ÁCIDO METACRÍLICO ESTABILIZADO,8,,
2533,TRICLOROACETATO DE METILO,6.1,,
2534,METILCLOROSILANO,2.3,2.1\n8,
2535,4-METILMORFOLINA (N-METILMORFOLINA),3,8,
2536,METILTETRAHIDRO- FURANO,3,,
2538,NITRONAFTALENO,4.1,,
2541,TERPINOLENO,3,,
2542,TRIBUTILAMINA,6.1,,
2545,HAFNIO EN POLVO SECO,4.2,,
2546,TITANIO EN POLVO SECO,4.2,,
2547,SUPERÓXIDO DE SODIO,5.1,,
2548,PENTAFLUORURO DE CLORO,2.3,5.1\n8,
2552,"HIDRATO DE HEXAFLUOROACETONA, LÍQUIDO",6.1,,
2554,CLORURO DE METILALILO,3,,
2555,"NITROCELULOSA CON un mínimo del 25%, en masa, de AGUA",4.1,,
2556,"NITROCELULOSA CON un mínimo del 25%, en masa, de ALCOHOL y un máximo del 12,6%, en masa seca, de nitrógeno",4.1,,
2557,"NITROCELULOSA EN MEZCLA, con un máximo del 12,6%, en masa seca, de nitrógeno, CON o SIN PLASTIFICANTE, CON o SIN PIGMENTO",4.1,,
2558,EPIBROMHIDRINA,6.1,3,
2560,2-METIL-2-PENTANOL,3,,
2561,3-METIL-1-BUTENO,3,,
2564,ÁCIDO TRICLOROACÉTICO EN SOLUCIÓN,8,,
2565,DICICLOHEXILAMINA,8,,
2567,PENTACLOROFENATO DE SODIO,6.1,,
2570,"CADMIO, COMPUESTO DE",6.1,,Tóxicos
2571,ÁCIDOS ALQUILSULFÚRICOS,8,,
2572,FENILHIDRAZINA,6.1,,
2573,CLORATO DE TALIO,5.1,6.1,
2574,FOSFATO DE TRICRESILO con más del 3% de isómero orto,6.1,,
2576,"OXIBROMURO DE FÓSFORO, FUNDIDO",8,,
2577,CLORURO DE FENILACETILO,8,,
2578,TRIÓXIDO DE FÓSFORO,8,,
2579,PIPERAZINA,8,,
2580,BROMURO DE ALUMINIO EN SOLUCIÓN,8,,
2581,CLORURO DE ALUMINIO EN SOLUCIÓN,8,,
2582,CLORURO DE HIERRO(III) EN SOLUCIÓN,8,,
2583,"ÁCIDOS ALQUILSULFÓNICOS SÓLIDOS o ÁCIDOS ARILSULFÓNICOS SÓLIDOS, con más del 5% de ácido sulfúrico libre",8,,
2584,"ÁCIDOS ALQUILSULFÓNICOS LÍQUIDOS o ÁCIDOS ARILSULFÓNICOS LÍQUIDOS, con más del 5% de ácido sulfúrico libre",8,,
2585,"ÁCIDOS ALQUILSULFÓNICOS SÓLIDOS o ÁCIDOS ARILSULFÓNICOS SÓLIDOS, con un máximo del 5% de ácido sulfúrico libre",8,,
2586,"ÁCIDOS ALQUILSULFÓNICOS LÍQUIDOS o ÁCIDOS ARILSULFÓNICOS LÍQUIDOS, con un máximo del 5% de ácido sulfúrico libre",8,,
2587,BENZOQUINONA,6.1,,
2588,"PLAGUICIDA, SÓLIDO, TÓXICO, N.E.P.",6.1,,Tóxicos
2589,CLOROACETATO DE VINILO,6.1,3,
2590,"AMIANTO, CRISOTILO",9,,
2591,XENÓN LÍQUIDO REFRIGERADO,2.2,,
2599,"CLOROTRIFLUOROMETANO Y TRIFLUOROMETANO, MEZCLA AZEOTRÓPICA DE, con aproximadamente el 60% de clorotrifluorometano (GAS REFRIGERANTE R 503)",2.2,,
2601,CICLOBUTANO,2.1,,
2602,"DICLORODIFLUOROMETANO Y DIFLUOROETANO, MEZCLA AZEOTRÓPICA DE, con aproximadamente el 74% de diclorodifluorometano (GAS REFRIGERANTE R 500)",2.2,,
2603,CICLOHEPTATRIENO,3,6.1,
2604,DIETILETERATO DE TRIFLUORURO DE BORO,8,3,
2605,ISOCIANATO DE METOXIMETILO,6.1,3,
2606,ORTOSILICATO DE METILO,6.1,3,
2607,DÍMERO DE LA ACROLEÍNA ESTABILIZADO,3,,
2608,NITROPROPANOS,3,,
2609,BORATO DE TRIALILO,6.1,,
2610,TRIALILAMINA,3,8,
2611,CLORO-1 PROPANOL-2,6.1,3,
2612,METIL PROPIL ÉTER,3,,
2614,ALCOHOL METALÍLICO,3,,
2615,ETIL PROPIL ÉTER,3,,
2616,BORATO DE TRIISOPROPILO,3,,
2617,METILCICLOHEXANOLES inflamables,3,,
2618,VINILTOLUENOS ESTABILIZADOS,3,,
2619,BENCILDIMETILAMINA,8,3,
2620,BUTIRATOS DE AMILO,3,,
2621,ACETILMETILCARBINOL,3,,
2622,GLICIDALDEHÍDO,3,6.1,
2623,YESCAS SÓLIDAS con un líquido inflamable,4.1,,
2624,SILICIURO DE MAGNESIO,4.3,,
2626,ÁCIDO CLÓRICO EN SOLUCIÓN ACUOSA con un máximo del 10% de ácido clórico,5.1,,
2627,"NITRITOS INORGÁNICOS, N.E.P.",5.1,,Oxidantes.
